RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,535,1719504512,291973780,2365,3523397570,132,"[3.177724599838257, 4.045939922332764, 3.4989309310913086]","[-1.3150397539138794, 1.0624812841415405, -0.9583253860473633]","[0.5199472308158875, 0.7789093852043152, -2.9575042724609375]","[6.345783233642578, 6.553532123565674, 5.233475208282471]","[1, -1, 1]"
479103,0,535,1719504529,508748120,3375,3573931693,132,"[10.184662818908691, 3.8058488368988037]","[2.0103437900543213, -1.2041162252426147]","[-2.623629570007324, -1.2666369676589966]","[38.70097732543945, 6.915594100952148]","[-1, 1]"
479103,0,535,1719504533,367251615,2704,3590607623,132,[],[],[],[],[]
479103,0,536,1719504568,994864655,640,3708110813,132,[5.85439920425415],[0.4158915877342224],[-0.024347595870494843],[6.368921279907227],[1]
479103,0,536,1719504576,510819685,3110,3741442984,132,[5.037843704223633],[2.4206128120422363],[2.1224701404571533],[28.568851470947266],[-1]
479103,0,536,1719504583,633302720,2763,3758412527,136,"[40.80772018432617, 40.7243537902832, 3.0074284076690674]","[1.0207786560058594, 0.1834586262702942, 1.673463225364685]","[0.7043935656547546, -2.5061473846435547, -2.021331310272217]","[63.97984313964844, 41.411746978759766, 8.298458099365234]","[-1, 1, 1]"
479103,0,536,1719504589,492493665,1152,3775266728,132,[8.631645202636719],[-0.5774058699607849],[3.045006275177002],[10.111505508422852],[1]
479103,0,536,1719504593,185086745,1386,3791928543,140,[48.983985900878906],[-1.888165831565857],[-0.13781841099262238],[165.53131103515625],[-1]
479103,0,536,1719504593,370580500,1281,3791945151,136,"[11.991997718811035, 10.988847732543945, 6.721496105194092, 5.735988140106201, 2.4646520614624023]","[-1.8645644187927246, -0.8302925825119019, -0.8791298270225525, 2.0220611095428467, -1.4422179460525513]","[2.3189380168914795, 1.806187629699707, 1.7777713537216187, -2.672060012817383, 2.6993985176086426]","[39.622230529785156, 14.999663352966309, 9.491161346435547, 22.044403076171875, 5.505161762237549]","[-1, -1, -1, 1, -1]"
479103,0,536,1719504593,616878335,365,3791967283,132,"[7.256361961364746, 3.322420358657837]","[-1.3681137561798096, -1.6403143405914307]","[2.8010921478271484, -2.432527780532837]","[15.175312042236328, 8.889281272888184]","[1, 1]"
479103,0,537,1719504621,814309905,1415,3892474198,132,[6.486649036407471],[-0.8526754379272461],[-0.12368244677782059],[8.991724967956543],[-1]
479103,0,537,1719504632,693778610,1755,3926109278,140,"[49.515113830566406, 1.176264762878418, 8.655267715454102]","[1.9880011081695557, 1.6330655813217163, -0.6460606455802917]","[1.2281720638275146, -2.929857015609741, -3.1156351566314697]","[184.1441192626953, 3.1276352405548096, 10.525837898254395]","[-1, 1, 1]"
479103,0,537,1719504637,791478440,2459,3942895773,132,"[9.739885330200195, 9.555009841918945, 4.052066326141357, 1.083906650543213, 3.7890384197235107]","[0.22203072905540466, -0.8136436343193054, 0.2035435289144516, 2.677257776260376, 0.861137330532074]","[1.6066536903381348, 2.807898998260498, 1.2407593727111816, -1.3614689111709595, 1.9041918516159058]","[9.9815092086792, 12.896607398986816, 4.137644290924072, 7.920758247375488, 5.283981800079346]","[1, -1, 1, -1, 1]"
479103,0,537,1719504643,857228580,356,3959768815,132,[3.8143162727355957],[-1.5668188333511353],[1.7861084938049316],[9.53654670715332],[1]
479103,0,538,1719504653,244034095,1594,3993270398,132,[],[],[],[],[]
479103,0,538,1719504658,888465915,3282,4010105817,136,[6.014842510223389],[-0.6593948602676392],[2.9629409313201904],[7.371303081512451],[1]
479103,0,538,1719504659,158825615,897,4010130057,132,"[2.6095526218414307, 2.6221635341644287, 2.585268020629883]","[-1.8988326787948608, 2.1727142333984375, -1.1549214124679565]","[-2.8100686073303223, 1.487060785293579, 2.533647060394287]","[8.909427642822266, 11.66380500793457, 4.511052131652832]","[1, -1, 1]"
479103,0,539,1719504665,459797530,3025,4043354930,132,[2.382699728012085],[1.7600226402282715],[-2.046340227127075],[7.130547046661377],[-1]
479103,0,539,1719504667,86160235,410,4043501503,128,[2.944836139678955],[-1.4327791929244995],[1.7966935634613037],[6.522156715393066],[-1]
479103,0,539,1719504669,73457445,967,4043680829,132,"[7.9025421142578125, 3.2961394786834717]","[0.006714588962495327, -0.6789892315864563]","[-2.757416248321533, 2.3014132976531982]","[7.903426647186279, 4.086952209472656]","[1, -1]"
479103,0,539,1719504705,265712915,1355,4177562138,129,[],[],[],[],[]
479103,0,539,1719504716,367027355,864,4211217066,132,[3.5440073013305664],[2.1974008083343506],[-3.137071371078491],[16.14804458618164],[1]
479103,0,539,1719504718,294209075,1318,4211389854,132,[],[],[],[],[]
479103,0,539,1719504721,871956440,3342,4228040522,140,"[30.85018539428711, 2.816624641418457, 2.7023394107818604, 2.544020652770996]","[1.5373905897140503, 1.4069302082061768, 2.485062837600708, -2.0286073684692383]","[-1.7579296827316284, -1.6407701969146729, -3.0320944786071777, 1.3118263483047485]","[75.07979583740234, 6.0965070724487305, 16.329490661621094, 9.839578628540039]","[-1, 1, 1, 1]"
479103,0,540,1719504730,430589340,241,4261467223,132,[3.719691753387451],[1.6780465841293335],[2.0336005687713623],[10.307478904724121],[-1]
479103,0,540,1719504730,922040395,2430,4261511375,132,"[3.015150785446167, 2.1783101558685303]","[2.3543167114257812, -2.244253396987915]","[-1.7746793031692505, -2.395082950592041]","[16.019678115844727, 10.390397071838379]","[-1, 1]"
479103,0,540,1719504731,411283185,1650,4261554990,132,[3.4506375789642334],[-1.8921616077423096],[-0.2757563292980194],[11.705796241760254],[-1]
479103,0,540,1719504733,781858695,2767,4261766268,132,[],[],[],[],[]
479103,0,541,1719504738,656603725,2620,4278532779,132,[15.341192245483398],[0.9747316837310791],[1.6868057250976562],[23.224884033203125],[-1]
479103,0,542,1719504760,653962950,353,67188522,132,"[2.7621281147003174, 2.848249673843384, 3.291163444519043]","[1.984002947807312, -1.60396409034729, 1.7387115955352783]","[-0.0603950060904026, -2.081907272338867, 2.3254683017730713]","[10.23327922821045, 7.368899822235107, 9.653156280517578]","[-1, -1, -1]"
